id,Car,Heavy_Vehicles,Motorcycle,Other,Pedalcycle
346833,2,0,0,0,0
346834,2,0,0,0,0
346835,2,0,0,0,0
346836,1,0,0,0,0
346837,2,0,0,0,0
346838,3,0,0,0,0
346839,3,0,0,0,0
346840,2,0,0,0,0
346841,2,0,0,0,0
346842,1,0,0,0,1
346843,1,0,0,0,1
346844,2,0,0,0,0
346845,0,1,0,0,1
346846,1,0,0,0,1
346847,2,0,0,0,0
346848,2,0,0,0,0
346849,1,1,0,0,0
346850,1,0,1,0,0
346851,0,1,0,0,0
346852,1,0,0,0,0
346853,2,0,0,0,0
346854,0,0,1,0,1
346855,1,0,0,0,0
346856,0,1,0,0,0
346857,2,0,0,0,0
346858,2,0,0,0,0
346859,1,0,1,0,0
346860,2,0,0,0,0
346861,1,0,1,0,0
346862,1,0,1,0,0
346863,1,0,1,0,0
346864,1,0,1,0,0
346865,1,0,0,0,0
346866,1,1,0,0,0
346867,1,0,0,0,0
346868,1,0,0,0,0
346869,0,1,0,0,0
346870,0,1,0,0,0
346871,3,0,0,0,0
346872,0,0,1,0,0
346873,0,1,0,1,0
346874,2,0,0,0,0
346875,2,0,0,0,0
346876,1,0,1,0,0
346877,0,0,0,1,0
346878,1,0,0,0,0
346879,0,1,0,0,0
346880,1,0,1,0,0
346881,0,1,0,0,0
346882,1,0,0,0,0
346883,1,0,0,0,0
346884,2,0,1,0,0
346885,2,0,0,0,0
346886,2,0,0,0,0
346887,0,1,0,0,0
346888,1,0,1,0,0
346889,1,0,0,0,0
346890,1,0,0,0,2
