id,lat,lon,severity,time_of_day_Night,time_of_day_Morning,time_of_day_Afternoon,time_of_day_Evening,month,day_of_week,risk_level_encoded
348453,51.397299,-0.11582,0,0,0,1,0,2,3,2
348454,51.562672,-0.179544,0,0,0,0,1,2,3,2
348455,51.40931,-0.152325,0,0,0,0,1,2,3,1
348456,51.527652,-0.174122,0,0,0,1,0,2,3,2
348457,51.553952,0.067237,0,0,0,1,0,2,3,0
348458,51.47911,-0.409213,0,0,1,0,0,2,4,1
348459,51.579482,-0.099245,0,1,0,0,0,2,4,1
348460,51.463327,-0.067408,0,0,0,1,0,2,3,2
346075,51.576602,-0.144596,0,0,1,0,0,1,0,1
346076,51.380381,-0.123485,0,0,0,1,0,1,6,2
346077,51.576264,-0.325353,0,0,0,0,1,1,0,1
346078,51.532821,-0.203112,0,0,0,1,0,1,0,1
346079,51.459634,-0.122957,0,0,0,0,1,1,0,2
346080,51.551479,-0.126044,0,0,0,1,0,1,0,1
346081,51.514426,-0.253356,0,0,0,1,0,1,5,2
346082,51.653585,-0.091231,0,0,0,0,1,1,0,1
346083,51.555013,0.060592,1,0,0,1,0,1,0,2
346084,51.489103,-0.040519,0,0,0,0,1,1,0,1
346085,51.556019,-0.214733,0,0,0,0,1,1,0,1
346086,51.539286,-0.093739,0,0,0,1,0,1,0,1
346087,51.599625,0.160152,0,0,0,1,0,1,5,0
346088,51.598218,-0.078523,1,0,0,0,1,1,0,1
346089,51.471328,-0.124277,0,0,0,0,1,1,0,2
346090,51.567936,-0.008677,1,0,0,0,1,1,0,0
346091,51.519792,0.022663,0,0,0,0,1,1,0,2
346092,51.50092,-0.40818,0,0,1,0,0,1,1,1
346093,51.473693,-0.183707,0,0,1,0,0,1,1,0
346094,51.558953,-0.369989,0,0,0,1,0,1,0,0
346095,51.540907,0.032569,0,0,1,0,0,1,1,2
346096,51.582383,-0.409723,0,0,1,0,0,1,1,1
346097,51.551731,-0.305801,0,0,1,0,0,1,1,1
346098,51.407713,-0.346342,0,0,0,1,0,1,0,0
346099,51.557883,-0.253726,0,0,1,0,0,1,1,1
346100,51.587739,-0.063591,0,0,1,0,0,1,1,1
346101,51.556454,-0.245356,0,0,1,0,0,1,1,1
346102,51.480265,-0.180091,0,0,0,1,0,1,0,1
346103,51.501976,-0.228502,0,0,1,0,0,1,1,0
346104,51.378831,-0.114294,0,0,1,0,0,1,1,2
346105,51.596482,-0.058844,1,0,1,0,0,1,1,1
346106,51.461665,-0.138075,0,0,0,1,0,1,1,2
346107,51.468392,-0.229242,1,0,0,1,0,1,1,2
346108,51.572711,-0.126052,0,0,0,1,0,1,1,1
346109,51.5084,-0.27758,0,0,0,1,0,1,1,2
346110,51.50271,-0.281425,0,0,0,1,0,1,1,2
346111,51.52628,-0.215262,0,0,0,1,0,1,1,1
346112,51.408102,-0.303768,0,0,0,1,0,1,1,0
346113,51.478922,0.123264,0,0,0,1,0,1,1,0
346114,51.484039,-0.069197,1,0,0,1,0,1,0,2
346115,51.610859,-0.018873,0,0,0,1,0,1,1,0
346116,51.679831,-0.033295,0,0,0,1,0,1,1,1
346117,51.546307,-0.1715,1,0,0,1,0,1,1,2
