id,casualty_age_0-23,casualty_age_24-30,casualty_age_31-38,casualty_age_39-50,casualty_age_50+
346395,1,0,0,0,0
346396,0,1,0,0,0
346397,0,0,0,0,1
346398,0,0,0,0,1
346399,0,0,0,1,0
346400,0,0,0,1,0
346401,0,0,1,0,0
346402,0,0,0,1,0
346403,0,0,1,0,0
346404,0,0,0,1,0
346405,0,0,0,1,0
346406,0,1,0,0,0
346407,1,0,0,0,0
346408,0,1,0,0,0
346409,0,1,0,0,0
346410,0,0,1,0,0
346411,0,1,0,0,0
346412,1,0,0,0,0
346413,1,0,0,0,0
346414,1,0,0,0,0
346415,1,0,0,1,0
346416,0,0,0,0,1
346417,0,1,0,0,0
346418,0,0,0,0,1
346419,1,0,0,0,1
346420,0,1,0,0,0
346421,1,0,0,0,1
346422,0,0,1,0,0
346423,0,0,1,0,0
346424,0,1,0,0,0
346425,0,0,0,1,0
346426,1,0,0,0,0
346427,2,0,0,0,0
346428,0,0,1,1,0
346429,0,1,0,0,0
346430,0,0,0,1,0
346431,0,1,0,0,0
346432,0,1,0,0,0
346433,1,0,0,0,0
346434,0,1,0,0,0
346435,0,0,1,0,0
346436,0,0,1,0,0
346437,1,0,0,0,0
346438,0,0,0,0,1
346439,0,0,0,0,1
346440,0,1,0,0,1
346441,0,0,1,0,0
346442,0,1,0,0,0
346443,0,0,0,0,1
346444,0,0,0,1,0
346445,0,0,1,0,0
346446,0,0,0,0,1
346447,0,0,0,0,1
346448,0,0,0,0,1
346449,0,0,0,1,0
346450,0,0,0,0,1
346451,0,0,0,0,1
346452,1,0,0,0,0
346453,0,0,0,0,1
346454,0,0,0,0,1
346455,0,1,0,0,0
346456,0,0,1,0,0
346457,1,0,0,0,0
346458,0,0,0,1,0
346459,1,0,0,2,2
346460,0,0,0,0,1
346461,0,0,0,0,1
346462,0,0,0,0,1
346463,0,1,0,0,0
346464,0,0,1,0,0
346465,0,0,0,0,1
346466,0,0,1,0,0
346467,0,0,0,0,1
346468,1,0,0,0,0
346469,0,0,0,1,0
346470,1,0,0,0,0
346471,1,0,0,0,0
346472,0,0,0,0,1
346473,0,0,0,0,1
346474,0,0,0,3,0
346475,1,0,0,0,0
346476,0,0,0,0,2
346477,0,0,0,1,0
346478,0,0,0,0,1
346479,0,0,0,1,0
346480,0,0,1,0,0
